system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,tier0_urban,tier1_urban,tier2_urban,tier3_urban,tier4_urban,.geo
00000ffb51de9a13b59d,ZWE,ZWE.6_1,Zimbabwe,Mashonaland West,,21598.05095284821,28839.010445207557,73296.78616489684,217452.88596448442,96310.87120760101,
0000d2ac9c8892d295ef,ZWE,ZWE.2_1,Zimbabwe,Harare,,0.0,96526.430526545,251754.9243201285,741113.6310406082,1635640.8129937435,
0000e1b8bd7f5a31647b,ZWE,ZWE.10_1,Zimbabwe,Midlands,,12557.584294211529,12790.440936171679,49982.3028031326,167808.6616410466,156279.6426722667,
00009cf421bd2a1085fe,ZWE,ZWE.9_1,Zimbabwe,Matabeleland South,,1817.4791516868236,4922.053576690198,13772.616358359543,14652.771540328045,26551.330353598474,
0000f1c546690486ff91,ZWE,ZWE.8_1,Zimbabwe,Matabeleland North,,4916.747837440801,1516.4468760227317,8282.141343813028,29569.51637857532,24173.66882545438,
0000b240eb22a090260d,ZMB,ZMB.9_1,Zambia,Southern,,19373.792307542753,6965.018746850445,14453.467007594825,44655.78427103471,355526.5539870969,
00005e61e697202c20e4,ZMB,ZMB.5_1,Zambia,Lusaka,,1454.7620513907132,1531.107734827635,11034.89339892039,147528.2316690254,2249262.4402609207,
000080cd1ce6e8fb189d,ZWE,ZWE.1_1,Zimbabwe,Bulawayo,,0.0,5116.290408596749,89330.74103429381,454139.47680707194,192145.08838809343,
0000aca10d4b084c291b,BWA,BWA.1_1,Botswana,Central,Centre|Ngwato|Serowe-Palapye,219.2918016842175,5369.053496963791,24579.934074852434,68670.94226857382,60814.80291982793,
00002a269f6600eaf327,BWA,BWA.2_1,Botswana,Chobe,,0.0,0.0,0.0,0.0,0.0,
