system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,pop14,pop15,pop16,pop17,pop18,pop19,.geo
00006d18bde90d5e3bf7,BFA,BFA.9_1,Burkina Faso,Haut-Bassins,,1270907.7289342426,1308243.6775320508,1346065.2967285137,1384648.316581527,1424004.6809897171,1464479.6857383095,
0000d59a255e4eaba06b,BFA,BFA.13_1,Burkina Faso,Sud-Ouest,,707012.9952761624,727782.9685288937,748823.1183444653,770286.8317210446,792180.7527654236,814696.9669415598,
0000dc98ea3cd42597eb,BFA,BFA.2_1,Burkina Faso,Cascades,,679800.0586604794,699770.6596401124,720001.0706795534,740638.7597708575,761690.1126139845,783339.8133462955,
0000cd6763c3938e8104,MLI,MLI.8_1,Mali,Sikasso,,2411823.170413329,2480896.7405458055,2553736.1389021263,2629304.817186165,2707330.5131200026,2787671.653935839,
0000354d7484d6713067,MLI,MLI.7_1,Mali,S̩gou,Segou,2219930.419305111,2283508.780189355,2350553.2176172785,2420109.7362281405,2491927.7591435337,2565877.0194806936,
0000a50735eb481f8af5,MLI,MLI.5_1,Mali,Koulikoro,,2154820.152339199,2216533.7426906307,2281611.7627234086,2349128.190147027,2418839.7955716522,2490620.129291954,
0000b1b6c0305f4229d0,CIV,CIV.10_1,C̫te d'Ivoire,Savanes,,1053061.5199736827,1079213.686094689,1106347.209187208,1134284.7052727244,1162971.8808200036,1192384.5836233268,
000066dca0376bf6dc20,MLI,MLI.1_1,Mali,Bamako,,1016.3774730651025,1045.486317220992,1076.182080653816,1108.0279821415284,1140.909296670249,1174.7663815428257,
000098dbce621d2ac3b1,MLI,MLI.3_1,Mali,Kayes,,2042611.0763938557,2101110.937064736,2162799.711336256,2226799.75715709,2292880.5248441054,2360922.254637698,
00004a31ab78db81c6cb,GIN,GIN.4_1,Guinea,Kankan,,1654938.2614420955,1693523.3538072824,1738088.6632169588,1785899.441535671,1836223.256971637,1887965.118021215,
0000e6469980eacff98f,GIN,GIN.3_1,Guinea,Faranah,,852067.2952791816,871932.8900274131,894877.6192239372,919493.3766744178,945403.0354608756,972042.7817960745,
0000c5307888e2131c81,MRT,MRT.8_1,Mauritania,Hodh el Gharbi,Hodh Occidental|Western Hodh,341160.570816103,350969.73826715956,360814.98348739056,370803.9604067425,380928.75037626654,391329.9975918651,
00005d7bcce6b53f4b93,MRT,MRT.2_1,Mauritania,Assaba,A̤aba|el-`A̢̤ba,353945.8519805052,364122.6324176334,374336.76335298584,384699.97381668986,395204.053365777,405994.94264382595,
0000316580ec4436d09e,MRT,MRT.11_1,Mauritania,Tagant,,94044.26711957909,96748.26245482401,99462.17917313494,102215.70535007214,105006.65962246526,107873.81965721256,
0000d6a4dcd131de9ae3,MRT,MRT.3_1,Mauritania,Brakna,,341354.9536026248,351169.713404137,361020.4875531988,371015.0342836959,381145.4355183057,391552.4428733177,
0000473da798f9bf22a0,MRT,MRT.5_1,Mauritania,Gorgol,,342166.03876768495,352004.12248129165,361878.3036673636,371896.59796069656,382051.06879678566,392482.8029327366,
0000070ae703dd871c86,SEN,SEN.9_1,Senegal,Matam,,562460.6269910837,578123.9610961418,594223.8806430061,610728.4713693513,627574.3312107545,644884.8541669456,
0000f4afb55637b944c2,MRT,MRT.13_1,Mauritania,Trarza,,271581.669241314,279390.1940764448,287227.43753310887,295179.0955094751,303238.85962878587,311518.692852943,
00000a97e329c2941d51,MRT,MRT.9_1,Mauritania,Inchiri,,22823.427341780403,23479.654913716753,24138.290287558888,24806.53840685233,25483.869880649174,26179.69558842083,
0000bcf234cd9889cc82,SEN,SEN.10_1,Senegal,Saint-Louis,Fleuve|Vall̩e du Fleuve,856216.7730641322,880060.6367277323,904569.068061479,929693.5033425472,955337.4319503037,981688.7023580649,
00008631ba6de554c318,SEN,SEN.8_1,Senegal,Louga,,875407.0405792604,899785.2677769404,924842.9913716455,950530.5403847614,976749.2365958524,1003691.1289607314,
0000df7f6d5b15f9a08d,MRT,MRT.10_1,Mauritania,Nouakchott,,112720.46091456506,115961.44103843476,119214.31282682648,122514.66009209274,125859.86827557297,129296.41587736069,
0000ffc9a295e5145dce,MRT,MRT.4_1,Mauritania,Dakhlet Nouadhibou,Dakhlet Nou̢dhibou|Baie du L̩vrier|L̩vrier Bay,18268.126508790003,18793.37839682534,19320.557516434787,19855.430785015913,20397.574472132175,20954.521150966597,
00000bff205a417f3641,SEN,SEN.13_1,Senegal,Thi̬s,,998898.8962764703,1026716.1094265811,1055308.6741213463,1084619.9123999667,1114537.2257100735,1145279.7549560303,
0000d4c4e2b53225c3b7,SEN,SEN.1_1,Senegal,Dakar,Cap Vert|Dacar,90340.74174226745,92856.53956579883,95442.46043575028,98093.37837883705,100799.10994532476,103579.4743099915,
00001a20b679ae705ff1,SEN,SEN.2_1,Senegal,Diourbel,,985345.1985283701,1012784.969976868,1040989.5725053162,1069903.097195632,1099414.4733050596,1129739.868293394,
0000c9c06988cd757bb4,SEN,SEN.3_1,Senegal,Fatick,,653096.3825054801,671283.7615963473,689978.0736469096,709142.2655023945,728702.7200899587,748802.7157835593,
00009258428b84a4bbb3,GMB,GMB.4_1,Gambia,North Bank,,196665.62019131327,202516.29148934848,208466.2196730145,214549.47922044015,220763.93443832142,227158.39224426766,
0000560729acf5d2db25,GMB,GMB.6_1,Gambia,Western,,212583.3505045703,218907.53019880128,225339.0052180755,231914.6039111152,238632.01593196095,245543.99802755154,
0000d8668f8188311ce7,GMB,GMB.1_1,Gambia,Banjul,,79.46694344419566,81.83106036897799,84.23528012395599,86.69337466401385,89.20448252957286,91.788325627056,
0000c982ccb3ecd976f5,SEN,SEN.14_1,Senegal,Ziguinchor,,337644.43276183424,347047.1649060043,356711.9696857146,366619.6961447738,376732.2871610439,387123.817120072,
0000ef2ad336db8398c5,GNB,GNB.5_1,Guinea-Bissau,Cacheu,,179073.41359248737,183777.20060639328,188467.92563031442,193205.94135814856,197989.08693380258,202890.64764808436,
0000a00d73b30de79350,GNB,GNB.4_1,Guinea-Bissau,Bolama,Bolama-Bijagcs,32309.321462090353,33157.99523500282,34004.30852648035,34859.152230502645,35722.136925394225,36606.48595464137,
0000a1c738441a486659,GNB,GNB.9_1,Guinea-Bissau,Tombali,,102110.45867844071,104792.6073467043,107467.29844370067,110168.9502270281,112896.331670741,115691.23313338675,
00004486e2afb34a4d63,GNB,GNB.8_1,Guinea-Bissau,Quinara,Buba,69452.02360138627,71276.33027942196,73095.56287342287,74933.13241746,76788.20181183156,78689.19591730187,
0000092a7173ace73203,GIN,GIN.1_1,Guinea,Bok̩,,886641.9411804498,907313.6283436267,931189.4022473501,956804.0131700671,983765.0299992063,1011485.7599398636,
00008ea2bf0104e36476,GIN,GIN.5_1,Guinea,Kindia,,1059010.9818806679,1083701.272010197,1112218.4300606824,1142812.4153734834,1175014.5163495406,1208124.007862572,
00005089229e88ca61b1,GNB,GNB.6_1,Guinea-Bissau,Gab̼,,216962.11310269285,222661.07935340158,228344.20706876382,234084.62356219525,239879.71233123503,245818.26655126674,
